"M Horvatić, C Berthier",,
High Magnetic Fields: Applications in Condensed Matter Physics and …,,
Interacting chiral electrons at the 2D Dirac points: a review,19,2021
"M Hirata, A Kobayashi, C Berthier, K Kanoda",,
"Reports on Progress in Physics 84 (3), 036502",,
Nuclear Magnetic Resonance Reveals Disordered Level-Crossing Physics in the Bose-Glass Regime of the Br-Doped  Compound at a High …,19,2017
"A Orlova, R Blinder, E Kermarrec, M Dupont, N Laflorencie, S Capponi, ...",,
"Physical review letters 118 (6), 067203",,
The effects of intra-dimer Dzyaloshinsky–Moriya interaction on the properties of SrCu2 (BO3) 2 in an external magnetic field,19,2004
"S Miyahara, F Mila, K Kodama, M Takigawa, M Horvatic, C Berthier, ...",,
"Journal of Physics: Condensed Matter 16 (11), S911",,
Spin dynamics of the spin-Peierls compound CuGeO 3 under a magnetic field,19,1997
"D Poilblanc, J Riera, CA Hayward, C Berthier, M Horvatic-acute",,
"Physical Review B 55 (18), R11941",,
High-field NMR insights into quantum spin systems,18,2005
"M Horvatić, C Berthier, F Tedoldi, A Comment, M Sofin, M Jansen, R Stern",,
"Progress of Theoretical Physics Supplement 159, 106-113",,
EPR and NRM Investigation on TMTTF-TCNQ,18,1976
"C Berthier, D Jérome, G Soda, C Weyl, L Zuppiroli, JM Fabre, L Giral",,
"Molecular Crystals and Liquid Crystals 32 (1), 261-265",,
Evidence of charge disproportionation in λ type BETS based organic superconductors,17,2010
"K Hiraki, M Kitahara, T Takahashi, H Mayaffre, M Horvatić, C Berthier, ...",,
"Journal of the Physical Society of Japan 79 (7), 074711",,
NMR study of spin fluctuations in YBa2Cu3O6+ x,17,1991
"C Berthier, Y Berthier, P Butaud, WG Clark, JA Gillet, M Horvatić, ...",,
"Physica C: Superconductivity 185, 1141-1142",,
Normal state spin susceptibility in YBa2Cu3O6. 92 single crystal from 63Cu and 89Y nuclear magnetic resonance,16,1999
"T Auler, M Horvatic, JA Gillet, C Berthier, Y Berthier, P Carretta, Y Kitaoka, ...",,
"Physica C: Superconductivity 313 (3-4), 255-270",,
Drift velocity and temporal phase fluctuations of sliding charge density waves in Rb0. 3MoO3,16,1990
"P Butaud, P Ségransan, A Jánossy, C Berthier",,
"Journal de Physique 51 (1), 59-89",,
C 13 NMR study of the charge-ordered state near the superconducting transition in the organic superconductor β′′-(BEDT-TTF) 4 [(H 3 O) Ga (C 2 O 4) 3]· C 6 H 5 NO 2,15,2014
"Y Ihara, M Jeong, H Mayaffre, C Berthier, M Horvatić, H Seki, A Kawamoto",,
"Physical review B 90 (12), 121106",,
NMR study of 17O in high Tc superconducting oxides,14,1989
"Y Kitaoka, Y Berthier, P Butaud, M Horvatić, P Ségransan, C Berthier, ...",,
"Physica C: Superconductivity and its Applications 162, 195-196",,
NMR study of large skyrmions in  quantum wells,13,2007
"VF Mitrović, M Horvatić, C Berthier, SA Lyon, M Shayegan",,
"Physical Review B—Condensed Matter and Materials Physics 76 (11), 115335",,
Huge Transverse Magnetic Polarization in the Field-Induced Phase <?format ?>of the Antiferromagnetic Molecular Wheel ,13,2007
"L Schnelzer, O Waldmann, M Horvatić, ST Ochsenbein, S Krämer, ...",,
"Physical review letters 99 (8), 087201",,
Observation of a lattice instability at the field-induced phase transition of the spin-gapped compound ,13,2004
"JE Lorenzo, K Katsumata, Y Narumi, S Shimomura, Y Tanaka, ...",,
"Physical Review B—Condensed Matter and Materials Physics 69 (22), 220409",,
Quasiparticle Scattering off Defects and Possible Bound States in Charge-Ordered ,12,2017
"R Zhou, M Hirata, T Wu, I Vinograd, H Mayaffre, S Krämer, M Horvatić, ...",,
"Physical review letters 118 (1), 017001",,
Microscopic Properties of the Pinwheel Kagome Compound ,12,2013
"MS Grbić, S Krämer, C Berthier, F Trousselet, O Cepas, H Tanaka, ...",,
"Physical review letters 110 (24), 247203",,
Magnetic structure of azurite above the magnetization plateau at  of saturation,12,2011
"F Aimo, S Krämer, M Klanjšek, M Horvatić, C Berthier",,
"Physical Review B—Condensed Matter and Materials Physics 84 (1), 012401",,
NMR as a probe of incommensurate spin density waves in organic metals,12,1997
"WG Clark, ME Hanson, SE Brown, B Alavi, G Kriza, P Segransan, ...",,
"Synthetic metals 86 (1-3), 1941-1947",,
Temperature dependence of La spin-lattice relaxation time in the high-T c superconductor La 1.85 Sr 0.15 Cu O 4,12,1987
"P Butaud, P Segransan, C Berthier, Y Berthier, C Paulsen, JL Tholence, ...",,
"Physical Review B 36 (10), 5702",,
Lattice gas ordering and associated charge density modulation observed by 77Se NMR in the intercalated layered compound Li 0.5 ZrSe2,12,1983
"Y Chabre, C Berthier, P Segransan",,
"Journal de Physique Lettres 44 (14), 619-624",,
